ad,468
ae,83600
af,647500
ag,443
ai,102
al,28748
am,29800
an,960
ao,1246700
ar,2766890
as,199
at,83870
au,7686850
aw,193
az,86600
ba,51129
bb,431
bd,144000
be,30528
bf,274200
bg,110910
bh,665
bi,1910
bi,27830
bj,112620
bm,53
bn,5770
bo,1098580
br,8511965
bs,13940
bt,47000
bu,678500
bw,600370
by,207600
bz,22966
ca,9984670
cc,14
cd,2345410
cf,622984
cg,342000
ch,41290
ci,322460
ck,237
cl,756950
cm,475440
cn,9596960
co,1138910
cr,51100
cu,110860
cv,4033
cx,135
cy,9250
cz,78866
de,357021
dj,23000
dk,43094
dm,754
do,48730
dz,2381740
ec,283560
ee,45226
eg,1001450
eh,266000
er,121320
es,504782
et,1127127
fi,338145
fj,18270
fk,12173
fm,702
fo,1399
fr,643427
ga,267667
gd,344
ge,69700
gg,78
gh,239460
gi,7
gl,2166086
gm,11300
gn,245857
gq,28051
gf,83534
gr,131940
gs,3903
gt,108890
gu,541
gw,36120
gy,214970
hk,1092
hm,412
hn,112090
hr,56542
ht,27750
hu,93030
hv,274200
id,3287590
ie,70280
il,20770
im,572
in,1919440
io,54400
iq,437072
ir,1648000
is,103000
it,301230
je,116
jm,10991
jo,92300
jp,377835
ke,582650
kg,198500
kh,181040
ki,811
km,2170
kn,261
kp,120540
kr,98480
kw,17820
ky,262
kz,2717300
la,236800
lb,10400
lc,616
li,160
lk,65610
lr,111370
ls,30355
lt,65200
lu,2586
lv,64589
ly,1759540
ma,446550
mc,2
md,33843
me,14026
cs,88361
yu,102387
mg,587040
mh,11854
mi,6
mk,25333
ml,1240000
mm,678500
mn,1564116
mo,28
mp,477
mr,1030700
ms,102
mt,316
mu,2040
mv,300
mw,118480
mx,1972550
my,329750
mz,801590
na,825418
nc,19060
ne,1267000
nf,35
ng,923768
ni,129494
nl,41526
no,323802
np,147181
nr,21
nu,260
nz,268680
om,212460
pa,78200
pc,13491
pe,1285220
pf,4167
pg,462840
ph,300000
pk,803940
pl,312685
pm,242
pn,47
pr,13790
ps,6220
pt,92391
pw,458
py,406750
qa,11437
ro,237500
rs,88361
ru,17075200
rw,26338
sa,2149690
sb,28450
sc,455
sd,2505810
se,449964
sg,693
sh,413
si,20273
sj,61397
sk,48845
sl,71740
sm,61
sn,196190
so,637657
sr,163270
st,1001
sv,21040
sy,185180
sz,17363
tc,430
td,1284000
tf,7829
tg,56785
th,514000
tj,143100
tk,10
tl,15007
tm,488100
tn,163610
to,748
tp,15007
tr,780580
tt,5128
tv,26
tw,35980
tz,945087
ua,603700
ug,236040
uk,244820
gb,244820
us,9826630
uy,176220
uz,447400
va,0
vc,389
ve,912050
vg,153
vn,329560
vu,12200
wf,274
ws,2944
ye,527970
yt,374
za,1219912
zm,752614
zr,2345410
zw,390580
mq,1128
gp,1628
vi,346.36
